Date,HDFC,HUL,ICICI,INFY,LT,MARUTI,RELIANCE,TCS,NIFTY50
2020-01-01,605.5293579101562,1749.931396484375,519.137939453125,633.1510620117188,1192.206787109375,6945.33544921875,675.32421875,1866.113525390625,12182.5
2020-01-02,609.38916015625,1751.2869873046875,522.861572265625,631.3036499023438,1224.37939453125,6962.5751953125,686.8212280273438,1857.5478515625,12282.2001953125
2020-01-03,600.6987915039062,1741.7083740234375,521.1690063476562,641.0134887695312,1215.0506591796875,6890.76318359375,687.6488647460938,1894.56640625,12226.650390625
2020-01-06,587.6987915039062,1730.86474609375,508.45050048828125,634.8697509765625,1198.3953857421875,6689.5283203125,671.7007446289062,1894.394775390625,11993.0498046875
2020-01-07,597.0048217773438,1735.6087646484375,505.742431640625,625.4606323242188,1201.808349609375,6719.166015625,682.0345458984375,1899.04345703125,12052.9501953125
2020-01-08,595.4420166015625,1743.425537109375,508.6922912597656,617.1256713867188,1175.4605712890625,6682.689453125,676.912353515625,1941.5728759765625,12025.349609375
2020-01-09,602.1195678710938,1748.5760498046875,528.3745727539062,625.159912109375,1197.849365234375,6865.73388671875,692.5026245117188,1906.361572265625,12215.900390625
2020-01-10,607.4710693359375,1765.6998291015625,522.5231323242188,634.2681884765625,1205.539794921875,6963.193359375,692.3460083007812,1905.6729736328125,12256.7998046875
2020-01-13,609.033935546875,1802.6131591796875,520.9271850585938,664.6862182617188,1214.732177734375,6984.28125,690.5789794921875,1885.69970703125,12329.5498046875
2020-01-14,610.6915283203125,1815.218994140625,519.9600219726562,666.49072265625,1206.9051513671875,7016.671875,684.1818237304688,1899.94775390625,12362.2998046875
2020-01-15,608.2051391601562,1826.8306884765625,518.0256958007812,659.5305786132812,1204.6298828125,7108.00439453125,681.6990966796875,1917.1658935546875,12343.2998046875
2020-01-16,609.8153686523438,1851.770751953125,519.5248413085938,659.0579833984375,1200.7164306640625,7088.72119140625,687.9843139648438,1927.41015625,12355.5
2020-01-17,605.3163452148438,1861.7562255859375,514.5921020507812,659.788330078125,1186.9735107421875,7143.33984375,707.2652587890625,1910.4505615234375,12352.349609375
2020-01-20,594.3053588867188,1864.060302734375,517.3002319335938,660.3038940429688,1191.8880615234375,7076.32568359375,685.50146484375,1868.4813232421875,12224.5498046875
2020-01-21,589.3090209960938,1857.328125,513.6248779296875,655.1912841796875,1185.289794921875,6936.73779296875,686.195068359375,1869.0841064453125,12169.849609375
2020-01-22,587.6514282226562,1853.9847412109375,505.69403076171875,661.8077392578125,1177.8724365234375,6778.05859375,685.9488525390625,1899.94775390625,12106.900390625
2020-01-23,589.5458374023438,1858.6837158203125,510.38494873046875,673.96630859375,1212.5478515625,6788.982421875,683.0410766601562,1890.499267578125,12180.349609375
2020-01-24,589.40380859375,1873.86474609375,516.3330688476562,672.5914306640625,1237.02978515625,6771.2666015625,680.6701049804688,1883.9844970703125,12248.25
2020-01-27,574.5567626953125,1862.705078125,519.6215209960938,668.5960083007812,1227.3826904296875,6790.59716796875,673.9597778320312,1871.7750244140625,12119.0
2020-01-28,579.2925415039062,1862.0272216796875,510.8685607910156,668.5099487304688,1225.60791015625,6646.451171875,658.3919067382812,1884.2864990234375,12055.7998046875
2020-01-29,585.2835083007812,1874.31640625,509.3209533691406,678.5634155273438,1242.945556640625,6659.03662109375,662.0154418945312,1859.1341552734375,12129.5
2020-01-30,580.6423950195312,1859.76806640625,514.7371826171875,670.8300170898438,1247.0411376953125,6668.67919921875,645.8660278320312,1844.681396484375,12035.7998046875
2020-01-31,580.7607421875,1838.21630859375,508.4021911621094,666.74853515625,1246.2222900390625,6567.08740234375,631.5060424804688,1793.9443359375,11962.099609375
2020-02-03,564.8955688476562,1968.971923828125,498.6335754394531,659.4017333984375,1171.0009765625,6659.98681640625,619.8076782226562,1814.178466796875,11707.900390625
2020-02-04,582.4183349609375,1947.87255859375,513.3831176757812,676.9736328125,1175.6427001953125,6838.8525390625,638.1044921875,1818.7088623046875,11979.650390625
2020-02-05,589.451171875,1952.1195068359375,521.4108276367188,674.1381225585938,1192.2977294921875,6688.103515625,647.990966796875,1852.1878662109375,12089.150390625
2020-02-06,587.1541748046875,1948.595458984375,523.8287963867188,662.7958984375,1199.1689453125,6669.77099609375,652.1513671875,1836.48388671875,12137.9501953125
2020-02-07,588.290771484375,1951.802978515625,518.8477172851562,667.9083862304688,1182.2408447265625,6622.4189453125,641.3478393554688,1843.559326171875,12098.349609375
2020-02-10,587.3909912109375,1951.2156982421875,516.4298095703125,664.3856201171875,1169.7724609375,6547.52001953125,642.2201538085938,1865.4761962890625,12031.5
2020-02-11,587.5330810546875,1945.20654296875,522.0394287109375,664.6862182617188,1171.2286376953125,6681.3125,649.8922119140625,1858.09814453125,12107.900390625
2020-02-12,591.51123046875,2042.5281982421875,531.276123046875,671.1306762695312,1180.6937255859375,6690.3837890625,657.7432250976562,1873.06982421875,12201.2001953125
2020-02-13,587.911865234375,2063.356689453125,523.2484130859375,680.754638671875,1176.0977783203125,6654.05029296875,659.465576171875,1891.362060546875,12174.650390625
2020-02-14,577.4693603515625,2037.7391357421875,527.8909912109375,675.7708129882812,1178.737060546875,6567.37255859375,665.482421875,1884.675048828125,12113.4501953125
2020-02-17,576.4273681640625,2035.52490234375,523.8287963867188,678.3485717773438,1165.1309814453125,6560.67578125,661.2996826171875,1901.112548828125,12045.7998046875
2020-02-18,574.5803833007812,2019.0787353515625,523.44189453125,685.39453125,1170.72802734375,6441.32177734375,656.4459228515625,1911.8983154296875,11992.5
2020-02-19,581.18701171875,2071.263427734375,526.923828125,687.800537109375,1166.2227783203125,6418.048828125,672.7295532226562,1895.15869140625,12125.900390625
2020-02-20,576.4036865234375,2031.5941162109375,529.0515747070312,684.8361206054688,1165.49462890625,6419.0,664.744384765625,1861.032470703125,12080.849609375
2020-02-24,573.0175170898438,2001.683837890625,512.46435546875,683.8478393554688,1146.473388671875,6146.189453125,646.40283203125,1825.266845703125,11829.400390625
2020-02-25,568.4473876953125,2018.3558349609375,513.5282592773438,686.0391235351562,1130.4097900390625,6093.13818359375,633.6309204101562,1860.4715576171875,11797.900390625
2020-02-26,567.9501953125,2020.7047119140625,506.51617431640625,672.5914306640625,1102.287353515625,5922.4423828125,622.7155151367188,1832.38525390625,11678.5
2020-02-27,568.0448608398438,2037.64794921875,498.4400634765625,668.381103515625,1101.5592041015625,5974.63916015625,620.143310546875,1816.7674560546875,11633.2998046875
2020-02-28,557.720703125,1965.176513671875,480.9339904785156,628.7259521484375,1080.8084716796875,5968.27490234375,594.3756713867188,1725.8642578125,11201.75
2020-03-02,558.6442260742188,1951.3511962890625,489.4936218261719,636.7599487304688,1056.553955078125,5970.22216796875,588.7837524414062,1726.856689453125,11132.75
2020-03-03,559.6860961914062,1957.857421875,497.85980224609375,641.8727416992188,1075.1202392578125,6066.06640625,600.7280883789062,1756.9705810546875,11303.2998046875
2020-03-04,544.0812377929688,1966.1707763671875,491.6697998046875,651.968994140625,1070.8883056640625,6064.4521484375,599.3190307617188,1797.5255126953125,11251.0
2020-03-05,545.265380859375,2004.25927734375,487.9461364746094,648.403076171875,1076.1668701171875,6046.97412109375,586.547119140625,1833.6363525390625,11269.0
2020-03-06,537.4749145507812,1977.9637451171875,470.39166259765625,634.9556274414062,1054.7337646484375,6122.96484375,568.5858154296875,1826.2156982421875,10989.4501953125
2020-03-09,524.40380859375,1917.058349609375,442.7301330566406,605.3108520507812,1002.9026489257812,5890.38330078125,498.41845703125,1701.8765869140625,10451.4501953125
2020-03-11,527.4821166992188,1947.330322265625,450.3708801269531,589.457275390625,1016.55419921875,5838.32958984375,516.0441284179688,1685.7841796875,10458.400390625
2020-03-12,483.6752014160156,1857.8251953125,411.6833801269531,542.3694458007812,925.1786499023438,5360.390625,475.5363464355469,1527.1458740234375,9590.150390625
2020-03-13,506.6442565917969,1837.267578125,432.5262756347656,551.9503173828125,956.941650390625,5546.04736328125,494.4593811035156,1558.597900390625,9955.2001953125
2020-03-16,473.3510437011719,1754.7657470703125,389.6798400878906,501.0816650390625,881.6295776367188,5205.65234375,454.37652587890625,1463.7685546875,9197.400390625
2020-03-17,461.7954406738281,1810.9267578125,355.19964599609375,476.8504333496094,870.753662109375,5323.154296875,450.9319152832031,1430.6339111328125,8967.0498046875
2020-03-18,415.2891845703125,1738.409912109375,343.39996337890625,459.1064758300781,823.24560546875,5084.44580078125,433.261474609375,1427.5277099609375,8468.7998046875
2020-03-19,424.12158203125,1661.1495361328125,327.4413146972656,468.77325439453125,767.3189086914062,4578.05810546875,410.53594970703125,1422.2694091796875,8263.4501953125
2020-03-20,418.10699462890625,1853.9847412109375,334.35675048828125,502.84320068359375,786.9774780273438,4824.6982421875,455.3830871582031,1562.29296875,8745.4501953125
2020-03-23,365.39666748046875,1689.5233154296875,274.6812744140625,452.361328125,658.9696655273438,4008.882080078125,395.4825439453125,1451.2562255859375,7610.25
2020-03-24,363.5733642578125,1832.43310546875,286.7710876464844,506.7958984375,653.294189453125,4261.6494140625,422.0329284667969,1480.3302001953125,7801.0498046875
2020-03-25,405.746337890625,1886.9222412109375,306.501708984375,520.8878173828125,706.6815795898438,4755.11865234375,484.14788818359375,1521.3115234375,8317.849609375
2020-03-26,426.74993896484375,1983.3846435546875,319.4137268066406,552.5089111328125,773.3583984375,4633.57958984375,476.9678649902344,1556.6435546875,8641.4501953125
2020-03-27,428.33648681640625,1934.2728271484375,328.6986999511719,560.84375,772.481689453125,4413.2998046875,476.6994323730469,1585.8038330078125,8660.25
2020-03-30,393.85931396484375,1973.8516845703125,303.1165466308594,538.5028076171875,737.0438842773438,4111.5654296875,460.9749450683594,1545.822265625,8281.099609375
2020-03-31,408.18536376953125,2077.001708984375,313.126953125,551.219970703125,746.134033203125,4073.427734375,498.23956298828125,1587.1949462890625,8597.75
2020-04-01,392.9121398925781,1969.6043701171875,300.9403991699219,517.9662475585938,714.6182861328125,4033.57958984375,483.3426513671875,1485.1973876953125,8253.7998046875
2020-04-03,385.4294128417969,1946.5172119140625,277.2442932128906,503.2729797363281,714.8950805664062,3810.497314453125,482.0006103515625,1437.7841796875,8083.7998046875
2020-04-07,424.38201904296875,2209.293212890625,315.3998718261719,549.0718383789062,739.8124389648438,4325.4814453125,539.5525512695312,1542.9539794921875,8792.2001953125
2020-04-08,420.9722595214844,2223.70654296875,308.4844970703125,542.7133178710938,744.8419189453125,4462.6943359375,533.31201171875,1482.3291015625,8748.75
2020-04-09,438.0924072265625,2143.644775390625,331.4552001953125,546.7088623046875,750.1022338867188,5059.75,545.7484130859375,1535.0880126953125,9111.900390625
2020-04-13,424.0268249511719,2120.330810546875,319.8005676269531,547.6969604492188,798.69091796875,5018.4287109375,531.9700317382812,1529.09033203125,8993.849609375
2020-04-15,408.8483581542969,2247.83349609375,316.6088562011719,549.11474609375,812.257080078125,4839.041015625,514.388916015625,1508.1435546875,8925.2998046875
2020-04-16,416.6388854980469,2201.341552734375,330.7781677246094,536.053955078125,841.3272094726562,4873.7119140625,522.5308227539062,1491.5423583984375,8992.7998046875
2020-04-17,431.1069641113281,2155.165771484375,363.227294921875,540.2643432617188,860.93798828125,5229.1630859375,547.5601806640625,1569.89794921875,9266.75
